Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]"
"Population, female","SP.POP.TOTL.FE.IN","Fragile and conflict affected situations","FCS","59969742","76869207","101080323","129270744","168275113"
"Population, female","SP.POP.TOTL.FE.IN","Heavily indebted poor countries (HIPC)","HPC","82036950","105048405","136589107","178956627","238604120"
"Population, female","SP.POP.TOTL.FE.IN","High income","HIC","398289275","446305564","489083838","526340871","564854852"
"Population, female","SP.POP.TOTL.FE.IN","IBRD only","IBD","951130353","1172651536","1431158807","1714627160","1967952562"
"Population, female","SP.POP.TOTL.FE.IN","IDA & IBRD total","IBT","1140805720","1417752948","1749366482","2133342364","2508251651"
"Population, female","SP.POP.TOTL.FE.IN","IDA blend","IDB","60279052","77908020","103784536","139455633","178114252"
"Population, female","SP.POP.TOTL.FE.IN","IDA only","IDX","129396315","167193392","214423139","279259571","362184837"
"Population, female","SP.POP.TOTL.FE.IN","IDA total","IDA","189675367","245101412","318207675","418715204","540299089"
"Population, female","SP.POP.TOTL.FE.IN","Late-demographic dividend","LTE","546646971","667113865","793237640","918112942","1014626255"
"Population, female","SP.POP.TOTL.FE.IN","Latin America & Caribbean","LCN","110221465","143789171","182381588","223880217","264681083"
"Population, female","SP.POP.TOTL.FE.IN","Latin America & Caribbean (excluding high income)","LAC","92395596","122572591","157329042","194768151","231695838"
"Population, female","SP.POP.TOTL.FE.IN","Latin America & the Caribbean (IDA & IBRD countries)","TLA","105245340","137771520","175481402","216381064","256680949"
"Population, female","SP.POP.TOTL.FE.IN","Least developed countries: UN classification","LDC","120744948","154933062","197639580","256461517","333361144"
"Population, female","SP.POP.TOTL.FE.IN","Low & middle income","LMY","1116625663","1391044811","1719632364","2101090415","2474437608"
"Population, female","SP.POP.TOTL.FE.IN","Low income","LIC","84481207","107097491","137402174","178009231","234497241"
"Population, female","SP.POP.TOTL.FE.IN","Lower middle income","LMC","460319958","578807270","731768230","923509691","1119124439"
"Population, female","SP.POP.TOTL.FE.IN","Middle East & North Africa","MEA","52086701","68642047","91116988","125258224","155394476"
"Population, female","SP.POP.TOTL.FE.IN","Middle East & North Africa (excluding high income)","MNA","48324479","63229830","82814548","112846058","139192005"
"Population, female","SP.POP.TOTL.FE.IN","Middle East & North Africa (IDA & IBRD countries)","TMN","48324479","63229830","82814548","111868961","137751295"
"Population, female","SP.POP.TOTL.FE.IN","Middle income","MIC","1032144456","1283947320","1582230190","1923081184","2239940367"
"Population, female","SP.POP.TOTL.FE.IN","North America","NAC","100019429","114708306","128167732","141323916","158718296"
"Population, female","SP.POP.TOTL.FE.IN","Not classified","INX","NA","NA","NA","NA","NA"
"Population, female","SP.POP.TOTL.FE.IN","OECD members","OED","404360247","456723415","505076980","546475870","590045463"
"Population, female","SP.POP.TOTL.FE.IN","Other small states","OSS","4728018","5671051","6910748","8741909","10457199"
"Population, female","SP.POP.TOTL.FE.IN","Pacific island small states","PSS","402534","539082","667045","789807","917890"
"Population, female","SP.POP.TOTL.FE.IN","Post-demographic dividend","PST","387779905","430731025","465746822","493222366","520841279"
"Population, female","SP.POP.TOTL.FE.IN","Pre-demographic dividend","PRE","95098228","121296562","160088228","209406321","277674710"
"Population, female","SP.POP.TOTL.FE.IN","Small states","SST","7226458","8642826","10290702","12515816","14607136"
"Population, female","SP.POP.TOTL.FE.IN","South Asia","SAS","275931473","343775766","434666283","547940431","670540403"
"Population, female","SP.POP.TOTL.FE.IN","South Asia (IDA & IBRD)","TSA","275931473","343775766","434666283","547940431","670540403"
"Population, female","SP.POP.TOTL.FE.IN","Sub-Saharan Africa","SSF","115354704","147573794","193958548","257510612","337092851"
"Population, female","SP.POP.TOTL.FE.IN","Sub-Saharan Africa (excluding high income)","SSA","115333416","147547048","193927218","257475774","337052131"
"Population, female","SP.POP.TOTL.FE.IN","Sub-Saharan Africa (IDA & IBRD countries)","TSS","115354704","147573794","193958548","257510612","337092851"
"Population, female","SP.POP.TOTL.FE.IN","Upper middle income","UMC","571824498","705140050","850461960","999571493","1120815928"
"Population, female","SP.POP.TOTL.FE.IN","World","WLD","1514914938","1837350375","2208716202","2627431286","3039292460"
,"","","","","","","",""
,"","","","","","","",""
,"","","","","","","",""
Data from database: World Development Indicators,"","","","","","","",""
Last Updated: 01/30/2019,"","","","","","","",""
